Bath(s),Bedroom(s),Area_Marlas,Price_per_Marla,Is_Luxury,Type_house,Location_Tier_Low-end,Location_Tier_Mid-range,Size_Category_Medium,Size_Category_Small
5,4,10.0,3800000.0,0,True,False,False,True,False
3,3,3.0,3000000.0,0,True,False,True,False,True
6,5,20.0,2825000.0,0,True,False,False,False,False
6,5,20.0,4825000.0,0,True,False,False,False,False
6,5,20.0,3900000.0,0,True,False,False,False,False
6,5,20.0,3875000.0,0,True,False,False,False,False
5,4,5.0,4000000.0,0,True,True,False,True,False
6,6,20.0,4150000.0,1,True,False,False,False,False
6,5,10.0,2950000.0,0,True,False,True,True,False
5,4,5.0,4200000.0,0,True,False,True,True,False
6,5,20.0,3050000.0,0,True,False,True,False,False
5,3,5.0,3900000.0,0,True,False,True,True,False
3,3,4.0,3725000.0,0,True,False,True,False,True
3,3,10.0,2900000.0,0,False,False,False,True,False
3,3,11.1,2747747.7477477477,0,False,False,False,False,False
4,3,5.0,5100000.0,0,True,False,False,True,False
6,5,20.0,4500000.0,0,True,False,True,False,False
6,5,20.0,4250000.0,0,True,False,False,False,False
6,5,20.0,4125000.0,0,True,False,False,False,False
6,5,20.0,4000000.0,0,True,False,False,False,False
3,3,8.0,6750000.0,0,True,False,False,True,False
6,5,10.0,3400000.0,0,True,False,True,True,False
5,5,20.0,3950000.0,0,True,False,False,False,False
4,4,10.0,6400000.0,0,True,False,False,True,False
4,3,8.2,5487804.878048781,0,False,False,False,True,False
5,5,20.0,6450000.0,0,True,False,False,False,False
5,4,5.0,4500000.0,0,True,True,False,True,False
4,3,5.0,5200000.0,0,True,False,True,True,False
5,4,8.0,5000000.0,0,True,False,False,True,False
4,3,5.3,4433962.264150944,0,True,False,True,True,False
4,4,5.0,3400000.0,0,True,True,False,True,False
6,5,22.0,2613636.3636363638,0,True,False,True,False,False
6,5,20.0,5000000.0,0,True,False,True,False,False
5,5,8.0,3687500.0,0,True,True,False,True,False
6,5,20.0,5500000.0,0,True,False,False,False,False
3,3,10.0,3000000.0,0,False,False,False,True,False
5,4,5.2,4326923.076923077,0,True,False,True,True,False
6,5,20.0,5875000.0,0,True,False,False,False,False
6,5,10.0,3850000.0,0,True,False,True,True,False
5,4,5.0,5800000.0,0,True,False,True,True,False
6,6,10.0,3700000.0,1,True,False,False,True,False
4,4,10.0,4600000.0,0,True,False,False,True,False
7,6,34.0,4264705.882352941,1,True,False,False,False,False
6,5,20.0,4550000.0,0,True,False,False,False,False
5,3,5.0,5000000.0,0,True,False,True,True,False
4,3,5.0,3300000.0,0,True,True,False,True,False
3,3,10.0,2450000.0,0,False,False,False,True,False
6,5,10.0,4750000.0,0,True,False,True,True,False
3,3,5.0,3800000.0,0,True,True,False,True,False
6,5,10.0,5400000.0,0,True,False,False,True,False
3,3,5.0,3400000.0,0,True,False,True,True,False
6,5,22.0,7954545.454545454,0,True,False,False,False,False
6,5,20.0,3750000.0,0,True,False,False,False,False
6,6,20.0,2875000.0,1,True,False,True,False,False
5,3,40.0,1500000.0,0,True,False,True,False,False
5,4,5.0,3900000.0,0,True,False,True,True,False
6,5,5.0,3500000.0,0,True,False,True,True,False
